id,area,research,teaching,bio
abhishek-borah,Marketing,"Use of Language in the Marketplace,
Managing Brand Crisis,
Computational Linguistics","Managing Customer Value,
Consumer Insights for Creating Consumer Value,
Digital and Social Media Strategy","Abhishek Borah is an Assistant Professor of Marketing at INSEAD with expertise in generating customer insights from unstructured data such as textual data using computational linguistics and machine learning. He holds a PhD in Marketing from the Marshall School of Business at the University of Southern California with a focus in quantitative marketing and econometrics. Prior to joining INSEAD, he was a faculty member at the Foster School of Business at the University of Washington in Seattle. Previous to that he worked in McKinsey and Company.

Abhishek’s research interests lie at the intersection of media, technology, and human behaviour. His research has appeared in leading academic journals such as Customer Needs and Solutions, Harvard Business Review, Journal of Marketing, Journal of Marketing Research, Marketing Science, and Strategic Management Journal. His research has been referenced in outlets such as Nature, Wall Street Journal, Ad Age, Fast Company, Forbes, and futurity.org.

In recognition of his research, Abhishek has been named as a 2019 Young Scholar by the Marketing Science Institute( MSI) where MSI identifies faculty members who are likely leaders of the next generation of marketing academics. Abhishek Borah won the MSI Robert D. Buzzell Best Paper Award 2018 for “The Dark Side of Big Data's Effect on Firm Performance,” which is determined by MSI Company Trustees for the most significant contribution to marketing practice and thought. His paper on “Data Privacy: Effects on Customer and Firm Performance”, in the Journal of Marketing was a finalist for both the Maynard Award and the MSI Paul Root Award.

He was awarded the Undergraduate Faculty of the Year cross all disciplines in the year 2017-2018 at the Michael G. Foster School of Business, University of Washington, Seattle. He has received funding for his research from the Marketing Science Institute, American Marketing Association, EBSCO, National Science Foundation, and University of Southern California’s Center for Global Innovation.

Abhishek Borah sits on the editorial review board for the top journals in marketing such as Journal of Marketing, Journal of Marketing Research, International Journal of Research in Marketing, and the Journal of Academy of Marketing Science, and reviews papers on a regular basis for other leading academic journals. He is also a co-editor of a special section on the marketing-finance interface at the International Journal of Research in Marketing. He has co-organized/co-chaired the Marketing Strategy Meets Wall Street Conference, 2019 and the New Ideas in Marketing (NiM) online seminar series, 2020."
adrian-buss,Finance,"Theoretical and Empirical Asset Pricing,
Incomplete Markets,
Financial Market Frictions,
International Finance,
Financial Regulation",Financial Markets and Valuation (MBA),"Adrian Buss is an Associate Professor of Finance at INSEAD, where he teaches ""Financial Markets and Valuation"" course in the MBA programme. Adrian graduated from the University of Mannheim with a degree (M.Sc. equivalent) in Mathematics and Business Information Systems and holds a Ph.D. in Finance from Goethe University Frankfurt.

His current research investigates the effects of financial frictions and financial market regulation on equity prices, prices of risk as well as real exchange rates.
"
albert-a-angehrn,Technology and Operations Management,"Management Learning and Decision Making,
Virtual Communities,
Advanced Simulations,
Intelligent Agents,
Internet Strategies,
Collaboration Dynamics,
Cross-cultural Issues","International Executive Programme (IEP),
Web Trends & Strategies (MBA),
INSEAD Executive Education CSPs,
INSEAD Online","Albert Angehrn is a Professor of Information Technology at INSEAD. His research activities concentrate on the impact of information and communication technologies and networks on learning, change, and collaboration processes within and across organisations, and on the design of innovative solutions to management learning, including the design of advanced simulations, intelligent agents, and virtual learning spaces.

His research work has received various international awards, and his publications may be found in academic journals, such as Communications of the ACM, Journal of Management Information Systems, European Management Journal, Interfaces, Interacting with Computers, Information Systems Management, Human Systems Management, Decision Support Systems, European Journal of Operations Research; and his articles are published in The Financial Times and The Wall Street Journal. He has also contributed to chapters of several books.

Professor Angehrn has directed the INSEAD Executive Education programmes 'Competing in the Information Age' and 'Leadership in the Knowledge Society (LinKS)' and has offered MBA courses including 'Organisational Computing' and 'CyberEntrepreneurship', as well as workshops, such as 'Are European managers ready for leadership in the Information Society' for The European Round Table of Industrialists (ERT) and an international executive workshop 'Value Creation with Communities of Practice (CoP Workshop)'. He is currently active in presenting his latest research via INSEAD Online.

In the frame of INSEAD's Centre for Advanced Learning Technologies (CALT), Professor Angehrn has designed a variety of multimedia and internet-based management learning and development tools through the CALT portfolio of projects, including the EIS Simulation, which is adopted by schools such as Stanford, MIT, Duke or Columbia University, and the LingHe Simulation, which allows managers to experience the challenge of interacting and driving change within a Chinese organisation.

Professor Angehrn explores new effective ways to model and improve learning, change, and collaboration processes at the individual, group, organisational, inter-organisational, and community levels. His research projects have been sponsored by European Community Research Funds and the European Space Agency. His academic and industry partners for these projects have included IKEA from Sweden, IBM and HP from the United States, Pfizer, SAP and BMW from Germany, the FIAT Group and Unicredit from Italy, French Eutelsat, the Scottish Government, the Danish Finance Ministry, and the Swedish Trade Council.
'"
alexandra-roulet,Economics and Political Science,"Labour Economics,
Public Economics",Business and Public Policy,"Alexandra Roulet is an Assistant Professor of Economics at INSEAD and a CEPR Research Affiliate. She graduated from the Ecole Normale Supérieure in Paris, and earned her PhD in Economics at Harvard University.

Alexandra’s research focuses on labour economics and has been published in leading academic journals such as the American Economic Review or the Journal of Public Economics. She is the co-winner of the 2017 Upjohn Institute Dissertation Award. Ongoing work include i) documenting supply-side gender differences in commute and quantifying how much of the gender wage gap it accounts for, ii) analysing the effect of job loss and unemployment on health using Danish administrative data; iii) understanding the well-being, mental health and expectations of gig economy workers, in partnership with Uber, and iv) evaluating, through an RCT with the French Public Employment Service, a new soft skills training program for unemployed. 

Her first book Repenser l'Etat (in French), co-authored with Philippe Aghion, was published in 2011. Her last book Améliorer les appariements sur le marché du travail (Presses de Sciences Po, also in French) came out in 2018 and won the AFSE prize catégorie Poche. 



"
amit-bhattacharjee,Marketing,"Morality, Fairness, and Welfare in Markets,
Moral, Political, and Economic Psychology,
Signaling and Symbolic Consumption,
Well-being and Utility from Experience,
Judgment and Decision-making","Marketplace Morality and Behavioral Business Ethics,
Marketing Insights and statistical Inference,
Marketing Management","Amit Bhattacharjee is an Associate Professor of Marketing at INSEAD. He earned his Ph.D. in Marketing from The Wharton School, University of Pennsylvania. Prior to joining INSEAD, he was an Assistant Professor at the Rotterdam School of Management, Erasmus University, and served as a visiting scholar at New York University and Dartmouth College. 

Amit's research examines how moral psychology shapes consumers' marketplace judgments and behaviors. Current topics of interest include lay economic reasoning, perceptions of inequality and market fairness, moral evaluations of producer motivations, judgments about the relationship between morality and job performance, symbolic consumption and signals of authenticity, and perceptions of consumer welfare and well-being. He spends much of his personal and professional life in a state of confusion about which moral standard to apply in any given situation. 

His work has appeared in several top business and psychology journals, such as Journal of Consumer Research, Organizational Behavior and Human Decision Processes, Harvard Business Review, Journal of Personality and Social Psychology, and Behavioral and Brain Sciences. Amit’s research was recognized with the Journal of Consumer Research Best Article Award in 2017, and he was selected as a Marketing Science Institute Young Scholar in 2019.
"
amitava-chattopadhyay,Marketing,"Branding, Marketing and the Internet,
Creativity and Innovation,
Aesthetics and Product Design,
Marketing in Emerging Economies","Branding,
Customer Focus,
Communication Strategy,
Consumer Behaviour,
International Marketing Strategy","Amitava Chattopadhyay is a Professor of Marketing and the GlaxoSmithKline Chaired Professor of Corporate Innovation at INSEAD. He is an expert on branding, and his research has appeared in leading journals, including the Journal of Marketing Research, Journal of Consumer Research, Journal of Consumer Psychology, Journal of Marketing, Marketing Science, Management Science, International Journal of Research in Marketing, and Long Range Planning. Most recently, he has published a book entitled The New Emerging Market Multinationals: Four Strategies for Disrupting Markets and Building Brands.

Professor Chattopadhyay is an Associate Editor of the Journal of Consumer Psychology, and an Area Editor of the International Journal of Research in Marketing. He is also on the editorial review boards of the Journal of Consumer Research, Journal of the Academy of Marketing Science, Long Range Planning, Social Science Research Network, International Journal of Internet Marketing and Advertising, and the International Journal of Marketing Education. He has been a member of the Advisory Board of the Association for Consumer Research and is currently serving on its Board. For his research, he has been the recipient of several awards, including the Robert Ferber Award. He is a Fellow of the Institute on Asian Consumer Insight.

Professor Chattopadhyay has developed and taught courses on branding, marketing strategy, communication strategy, consumer behaviour, marketing in emerging economies, and international marketing for MBA and PhD students. He has taught in Executive Education programs in Europe, the Americas, Asia, Australia, and Africa. He is on the advisory boards of several companies and a consultant to multinational firms. Professor Chattopadhyay is co-directing INSEAD Leadership Programme for Senior Executives - India.

Professor Chattopadhyay holds a PhD from the University of Florida, a PGDM from the Indian Institute of Management, Ahmedabad, and a BSc (Honours) degree from Jadavpur University, India.
'"
andre-calmon,Technology and Operations Management,"Process & Operations Management,
Big Data & Analytics,
Operations Management in Emerging Markets,
Sustainability in Business Operations","Operations Management,
Business Sustainability,
Supply Chains in Emerging Markets","Andre Calmon is an Assistant Professor of Technology and Operations Management at INSEAD. His research involves using analytics and mathematical modeling to address sustainability and efficiency issues in supply chains. He also studies operations management and marketing challenges faced by both for-profit and non-profit sectors in emerging markets. More generally, Andre investigates how operational excellence and innovative business models can help organizations generate positive social and environmental impact while still being profitable.

Andre's teaching focuses on the relationship between operations management, business model innovation, and sustainability. He has won INSEAD MBA's Best Teacher Award and has received INSEAD's ""Dean's Commendation for Excellence in MBA Teaching"" multiple times.

Andre does analytics and operations management consulting for companies in North America, Europe, Asia and Latin America. He also advises start-ups located on various continents.

Andre holds a Ph.D. in Operations Research from the Massachusetts Institute of Technology (MIT). He also holds an M.Sc. in Electrical Engineering from the Universidade Estadual de Campinas (Unicamp) and a B.Sc. in Electrical Engineering from the Universidade de Brasília (UnB).
"
andrew-shipilov,Strategy,"Organisation theory,
Strategic Alliances,
Inter-Firm Networks,
Inter-personal Networks,
Transition Economies","Competitive Strategy,
Strategic Alliances,
Value Innovation (Blue Ocean Strategy)","Andrew Shipilov is a Professor of Strategy and the John H Loudon Chair of International Management at INSEAD. In 2014, Professor Shipilov received a prestigious Emerging Scholar Award from the Strategic Management Society. He is an expert in the areas of strategy, innovation, and networks. His current academic research examines how social networks, strategic alliances, and partnerships affect firm's competitive advantage. 

His newest book is Network Advantage: How to Unlock Value from Your Alliances and Partnerships. He has a blog on Networks and Innovation. 

At INSEAD, Professor Shipilov teaches and directs Executive Education programmes on competitive strategy, collaborative strategy, and Blue Ocean Strategy. From 2010, he is an Academic Director of the INSEAD Blue Ocean Strategy open programme. Andrew Shipilov is directing Building Digital Partnerships and Ecosystems

His clients include Abbott Labs, IBM, Microsoft Corp., Bayer, BNP Paribas, Royal Dutch Shell and other well-known companies. 

Professor Shipilov's work has been published in the leading management journals including the Academy of Management Journal, Administrative Science Quarterly, Organization Science, Social Networks, Strategic Organization, Industrial and Corporate Change, Managerial and Decision Economics. He also published in Harvard Business Review, MIT Sloan Management Review, and Talent Management Magazine.

He is an editorial board member of the Strategic Management Journal and the Strategic Organization, two premier journals in strategy.

His research received prizes from the Academy of Management, the leading international association of management researchers.

"
andy-j-yap,Organisational Behaviour,"Social and Person Perception,
Power, Status and Social Hierarchy,
Social Mobility Aspirations,
Emotion in Leadership,
Nonverbal Behavior,
Consumer Behavior at Work","Power And Politics,
Leadership Communication,
Executive Presence,
Leading High-Impact Teams,
Strategy Execution & Organizational Change,
Influence & Decision-making,
Managerial Negotiation","Andy Yap is an Assistant Professor of Organisational Behaviour at INSEAD. Professor Yap holds a PhD and MPhil in Management from Columbia Business School, and a BSSc with Honours in Psychology from the National University of Singapore. Before joining INSEAD, Professor Yap was a faculty at the Sloan School of Management, Massachusetts Institute of Technology.

At INSEAD, Professor Yap teaches in a variety of programs including Executive Education, MBA, EMBA, and PhD. His teaching and consulting expertise includes Leadership, Leadership Communication, Executive Presence, Leading High-Impact Teams, Strategy Execution & Organizational Change, Power And Politics, and Managerial Negotiation. At MIT, Professor Yap taught the graduate/undergraduate course on Managerial Psychology and the core leadership MBA course on Organizational Processes.

Professor Yap is a social and organizational psychologist. His research program focuses on three overarching areas: (1) Signals of social status and its consequences, (2) The impact of hierarchy on person perception, and (3) How dimensions of social hierarchy affect important organisational outcomes (e.g. prosocial behaviour, subjective well-being, stress, organisational commitment and career decisions). Professor Yap’s work has important implications for how organisations can be structured to promote a workforce that is productive, motivated, and socially responsible.

Professor Yap's research has been published in leading academic journals including Psychological Science, Proceedings of the National Academy of Sciences, Journal of Applied Psychology, Journal of Consumer Research, Journal of Experimental Social Psychology, and Personality and Social Psychology Bulletin, as well as leading practitioner journals such as Harvard Business Review. His work has also been featured across a range of international media outlets including TIME, The New York Times, The Wall Street Journal, CNN, BBC, The Atlantic, Financial Times, NHK (Japan Broadcasting Corp.), The Business Times (Singapore), The Straits Times (Singapore) and the US National Public Radio.

Professor Yap has been recognized with academic and teaching honours such as the American Psychological Association Early Graduate Student Researcher Award, the Donald C. Hambrick Award from Columbia Business School, nomination for the Best Teacher Award in the MBA program at INSEAD, and several other conference awards in Psychology, Marketing, and Management."
anil-gaba,Decision Sciences,"Incentive Schemes,
Contests and Tournaments,
Risk Analysis,
Bayesian Statistics,
Decision Analysis,
Decision Making","Judgement and Choice (Executive Education),
Bayesian Analysis,
Probability and Statistics (PhD),
Decision Analysis,
Applied Statistics (MBA),
Uncertainty, Data and Judgement,
Decision Making,
Risk Management","Anil Gaba is a Professor of Decision Sciences and the Orpar Chaired Professor of Risk Management at INSEAD. He is the Academic Director of INSEAD Centre for Decision Making and Risk Analysis. He served as Dean of Faculty in 2006-2009, and as Dean of Faculty and Research, Asia Campus, in 2002-2006. 

Anil received his PhD in Decision Sciences from Duke University in the United States.

His research focuses on the area of assessment and use of subjective information, and analysis of decisions under risk and uncertainty. His research has appeared in several academic journals such as Management Science, Operations Research, Marketing Science, and Journal of Risk and Uncertainty. He is a co-author of a book Dance with Chance: Making Luck Work For You(with S. Makridakis and R. Hogarth).

He teaches courses on Uncertainty, Data, and Judgment (MBA), Probability and Statistics (PhD), and Bayesian Analysis (PhD). In addition, he teaches modules on Judgments and Decision Making and Risk Management in several Executive Education programmes all over the world including Europe, United States, China, Singapore, India, and the Middle East. He has won the INSEAD Outstanding Teacher Award for the MBA Core Course (Uncertainty, Data, and Judgment) ten times. 

He is a regular consultant and a keynote speaker at various multinationals in areas of judgments and decision making and risk management.'

Anil Gaba is co-directing the International Directors Programme."
